SEQN,RIDSTATR,Gender,Age,Race,EducationLevel,AnnualHouseholdIncome,RatioFIP,LowIncome
94461,2,2,19,1,15,5,0.82,1
94491,2,2,19,4,13,6,0.99,1
94516,2,2,19,4,13,1,0.17,1
94517,2,1,19,5,13,8,2.17,1
94546,2,2,19,5,13,10,0.37,2
94555,2,1,19,1,15,6,0.96,2
94587,2,2,19,3,11,15,3.1,1
94745,2,1,19,3,15,4,0.95,2
94757,2,1,19,2,15,2,0.46,1
94787,2,1,19,1,15,6,0.96,1
94886,2,1,19,1,13,3,0.33,1
94905,2,2,19,3,15,15,5,1
95024,2,1,19,3,13,15,5,2
95194,2,1,19,1,11,,,2
95195,2,2,19,2,13,2,0.41,1
95198,2,2,19,4,13,1,0.04,1
95307,2,1,19,1,13,1,0.12,1
95463,2,1,19,1,13,99,,1
95481,2,1,19,3,13,9,2.29,2
95517,1,2,19,1,13,15,3.47,2
95585,2,1,19,1,15,14,3.88,2
95640,2,1,19,4,13,4,0.72,2
95741,2,2,19,3,15,2,0.25,1
95766,2,2,19,3,15,14,2.89,1
95808,2,2,19,3,13,1,0,2
95907,2,2,19,5,13,9,2.29,1
95935,2,1,19,3,13,10,3.65,2
96053,1,2,19,5,15,6,1.3,2
96078,2,1,19,1,15,6,0.99,1
96280,2,2,19,1,13,6,1.88,1
96288,2,1,19,3,15,1,0.33,1
96311,2,2,19,4,12,7,1.14,1
96338,2,2,19,3,13,14,3.61,1
96350,2,1,19,1,15,13,,2
96487,2,1,19,3,13,2,0.5,2
96710,1,2,19,4,15,1,0,1
96734,2,2,19,4,15,10,2.21,1
96759,2,2,19,3,15,,,2
96776,2,1,19,2,13,7,1.96,1
96822,2,1,19,1,13,6,1.24,1
97076,2,1,19,3,13,9,2.47,1
97098,2,1,19,2,9,77,,2
97127,2,1,19,1,15,10,2.46,2
97130,2,1,19,5,15,,,2
97146,2,2,19,5,13,15,5,1
97182,2,1,19,5,13,3,0.83,2
97184,2,2,19,3,13,7,1.72,1
97261,2,1,19,3,13,1,0.08,1
97285,2,1,19,2,66,77,,1
97324,2,2,19,3,10,8,1.19,2
97378,2,2,19,4,13,9,1.91,2
97392,2,2,19,4,15,4,0.72,2
97400,2,1,19,3,13,14,3.82,1
97425,2,1,19,3,11,3,0.82,2
97432,2,1,19,4,15,14,4.8,1
97483,2,1,19,3,15,5,1.35,2
97544,2,1,19,4,15,9,2.65,1
97589,2,2,19,2,10,3,0.74,2
97621,2,2,19,4,13,5,0.74,1
97694,2,2,19,3,12,8,0.99,1
97723,2,2,19,1,15,5,0.45,2
97730,2,2,19,2,11,4,0.41,1
97793,2,1,19,5,13,15,3.04,1
97844,1,1,19,3,13,6,2.31,2
97862,2,1,19,4,15,2,0.66,1
97943,2,2,19,3,13,8,1.61,1
98061,2,1,19,4,15,14,3.3,2
98066,2,1,19,1,13,7,1.09,2
98111,2,2,19,5,15,8,2.45,1
98199,2,2,19,2,15,,,2
98255,2,2,19,4,13,,,1
98375,2,1,19,2,11,1,0.05,1
98408,2,2,19,3,15,7,1.71,1
98440,2,2,19,4,15,5,0.74,1
98608,2,1,19,5,15,15,4.08,1
98866,2,1,19,3,13,1,0.37,2
98938,2,2,19,3,14,13,,1
98953,2,2,19,3,15,15,5,2
99013,2,2,19,1,13,7,1.52,2
99041,2,2,19,3,13,,,1
99065,1,1,19,1,13,13,,1
99066,2,1,19,1,13,4,0.58,2
99221,2,1,19,3,15,2,0.41,1
99229,2,2,19,4,13,5,0.59,1
99354,2,2,19,3,13,4,0.91,1
99428,2,2,19,2,13,14,3.3,1
99471,2,1,19,4,15,6,1.22,2
99547,2,1,19,3,15,10,2.53,1
99595,1,1,19,2,13,1,0,2
99771,2,2,19,5,12,6,1.64,1
99892,2,2,19,3,13,3,0.5,1
99968,2,2,19,3,10,3,0.55,1
100003,2,2,19,2,13,1,0.12,1
100009,2,2,19,3,15,14,4.21,1
100014,2,2,19,5,12,9,3.08,2
100387,1,2,19,3,10,,,2
100439,2,1,19,5,13,1,0.12,1
100457,2,2,19,2,11,,,1
100461,2,2,19,5,13,1,0.12,1
100467,2,1,19,2,15,10,3.13,1
100488,2,1,19,4,12,7,2.02,2
100607,2,1,19,5,15,1,0.17,1
100687,1,2,19,1,13,,,1
100796,2,1,19,5,13,15,5,1
100814,2,2,19,3,13,3,0.49,2
100917,2,1,19,1,11,7,1.04,1
101089,2,2,19,1,13,1,0.01,1
101113,2,2,19,3,15,15,4.86,1
101130,2,2,19,2,15,9,2.65,2
101152,2,1,19,1,15,14,2.72,2
101437,2,2,19,1,9,2,0.29,2
101595,2,1,19,2,15,5,0.82,1
101818,2,1,19,3,13,5,0.59,1
101935,1,2,19,5,9,4,0.91,1
101938,2,1,19,5,11,5,0.7,1
101951,2,2,19,4,13,77,,1
101986,2,2,19,3,13,4,0.82,2
102019,2,2,19,3,66,99,0,1
102133,2,2,19,3,13,3,0.33,2
102141,2,1,19,1,15,7,1.19,1
102161,2,1,19,4,13,1,0.03,1
102224,2,1,19,5,15,15,5,1
102298,2,2,19,4,15,15,5,2
102323,2,2,19,2,9,7,1.19,2
102414,2,1,19,5,15,3,0.83,1
102416,2,2,19,1,15,10,2,1
102431,2,1,19,2,13,12,1.45,2
102487,2,2,19,5,13,15,5,2
102534,2,1,19,1,13,15,5,2
102660,2,2,19,1,15,8,1.2,2
102751,1,2,19,3,15,12,,2
102837,2,2,19,2,13,1,0.17,2
93731,2,1,20,1,,15,5,1
93791,2,1,20,5,,9,2.94,2
93870,2,2,20,3,,15,3.79,2
93908,2,2,20,5,,12,,2
94027,2,1,20,1,,99,,2
94099,2,2,20,5,,8,1.54,2
94114,2,1,20,4,,99,,2
94287,2,1,20,3,,15,5,2
94322,2,1,20,2,,77,,2
94453,2,2,20,3,,10,1.77,2
95026,2,1,20,4,,1,0.25,2
95037,2,2,20,1,,6,1.11,1
95065,1,2,20,2,,7,1.42,1
95113,2,2,20,1,,14,3.25,1
95119,1,1,20,5,,1,0,2
95389,2,1,20,3,,12,,1
95643,2,1,20,3,,10,3.43,2
95870,2,2,20,4,,5,0.74,2
96035,2,2,20,5,,8,2.41,1
96056,2,1,20,1,,3,0.67,2
96088,2,1,20,4,,,,1
96093,2,2,20,3,,99,0.21,1
96337,2,1,20,1,,15,3.4,2
96355,2,2,20,1,,5,0.45,2
96663,2,2,20,3,,2,0.08,1
96739,2,1,20,5,,,,1
96890,2,1,20,4,,3,0.74,1
97003,2,1,20,3,,,,1
97060,2,1,20,4,,15,4.9,1
97106,2,2,20,3,,10,0.37,2
97249,2,2,20,4,,6,1.14,2
97306,2,2,20,1,,99,,1
97474,2,1,20,3,,15,5,2
97507,2,2,20,2,,14,3.59,2
97522,2,2,20,1,,6,0.82,2
97671,2,2,20,2,,,,1
97853,2,2,20,5,,6,1.35,1
98370,2,1,20,4,,1,0.08,1
98376,2,1,20,2,,99,,1
98531,2,2,20,3,,15,1.49,2
98788,2,2,20,1,,14,2.72,2
98868,2,1,20,4,,7,2.65,2
99110,2,2,20,1,,2,0.58,1
99121,2,2,20,1,,4,0.49,1
99125,2,2,20,5,,15,5,1
99233,2,2,20,1,,14,3.32,2
99317,1,1,20,5,,,,2
99394,2,1,20,4,,77,,1
99435,2,1,20,2,,1,0.17,2
99459,2,2,20,2,,6,1.08,1
99721,2,2,20,4,,5,1.46,1
99761,2,2,20,2,,,,1
99931,2,2,20,5,,8,1.6,1
100029,2,2,20,1,,8,1.7,2
100069,2,2,20,5,,5,0.88,2
100133,2,1,20,3,,14,2.46,1
100524,2,1,20,1,,15,5,2
100667,2,1,20,4,,14,3.92,2
100740,2,1,20,3,,15,4.74,2
100935,2,1,20,4,,6,1.07,2
100942,2,1,20,3,,4,,1
100961,2,2,20,3,,8,1.99,1
101566,1,2,20,3,,1,0.1,2
101652,2,1,20,3,,9,2.47,1
101655,2,1,20,4,,15,3.4,2
101688,2,2,20,3,,15,3.4,2
102015,2,2,20,3,,6,1,2
102096,2,1,20,2,,7,2.43,1
102101,2,1,20,1,,15,5,1
102187,2,1,20,4,,7,1.69,2
102393,2,2,20,3,,2,0.41,1
102718,2,1,20,1,,7,1.49,1
102762,2,1,20,3,,6,0.49,1
102797,2,1,20,4,,,,1
102899,2,2,20,3,,7,1.68,1
102903,2,2,20,4,,12,,1
93783,2,2,21,2,,3,0.41,2
94189,2,2,21,1,,7,1.49,1
94631,2,2,21,4,,14,2.37,1
94873,2,1,21,1,,,,2
95096,2,1,21,1,,10,2,1
95184,2,2,21,3,,12,,2
95233,2,2,21,1,,7,1.22,2
95323,2,1,21,5,,15,3.82,1
95392,2,1,21,3,,12,,2
95488,2,2,21,3,,9,2.08,2
95602,2,1,21,1,,7,1.11,2
95903,2,1,21,1,,7,1.29,1
95973,2,2,21,2,,6,1.39,1
96379,2,2,21,1,,15,4.31,1
96444,2,2,21,5,,12,,2
96485,2,2,21,3,,5,0.96,2
96509,2,1,21,1,,77,,1
96523,2,2,21,2,,14,4.74,2
96821,2,1,21,5,,6,1.47,2
96899,2,1,21,4,,9,2.79,1
96967,2,2,21,5,,5,0.64,2
97585,2,1,21,3,,15,5,1
97702,2,2,21,4,,15,3.4,2
97763,2,2,21,3,,14,2.72,2
98057,2,1,21,1,,,,2
98357,2,1,21,4,,6,0.96,1
98435,2,2,21,4,,4,1.2,1
98443,2,2,21,3,,4,1.19,1
98485,2,1,21,5,,1,0.21,1
98555,2,1,21,2,,9,2.65,1
98589,2,2,21,1,,8,2.41,2
98747,2,1,21,4,,6,1.07,2
98796,2,2,21,4,,,,1
98817,2,2,21,3,,14,4.29,1
98925,2,2,21,1,,7,1.11,2
98955,2,1,21,3,,99,,1
99339,2,2,21,1,,14,2.72,2
99584,2,1,21,1,,8,1.19,2
99777,2,1,21,3,,9,2.79,2
99795,2,2,21,2,,4,1.05,2
99841,2,1,21,5,,5,0.7,1
99852,2,2,21,4,,6,0.74,1
99924,2,2,21,5,,15,5,1
99949,2,2,21,5,,15,4.52,2
99964,2,2,21,1,,4,1.06,2
99989,2,2,21,1,,6,1.35,1
100000,2,2,21,4,,9,1.08,1
100326,2,2,21,4,,3,0.59,2
100675,2,2,21,4,,7,1.54,1
100689,2,1,21,4,,12,,1
100749,2,1,21,5,,7,1.36,2
100775,2,2,21,3,,13,,1
100781,1,2,21,1,,13,,2
100952,2,1,21,3,,10,4.19,2
101009,2,2,21,1,,8,1.41,2
101190,2,1,21,2,,99,,2
101563,2,1,21,4,,7,1.63,2
101625,2,1,21,4,,14,4.62,1
101844,2,2,21,5,,7,2.46,2
101880,2,1,21,5,,14,0.21,1
102037,2,2,21,1,,8,1.24,2
102093,2,2,21,2,,1,0.12,2
102128,2,1,21,4,,7,2.13,1
102486,2,2,21,5,,77,,1
102655,2,1,21,2,,,,2
102672,2,2,21,4,,15,5,1
102879,2,1,21,3,,1,0.04,2
93717,2,1,22,3,,,1.49,1
93946,2,1,22,1,,6,1.88,1
94160,2,2,22,3,,15,4.04,1
94251,2,2,22,3,,9,2.79,2
94262,2,1,22,1,,6,1.37,2
94306,2,2,22,3,,5,1.73,1
94365,2,1,22,4,,2,0.24,1
94530,2,1,22,4,,15,3.4,1
94625,2,1,22,4,,5,1.2,2
94689,2,1,22,2,,4,0.41,1
94720,2,1,22,4,,4,0.61,1
94802,2,1,22,2,,14,3.29,1
95211,2,2,22,1,,9,3.83,2
95227,2,1,22,5,,14,3.85,2
95425,2,1,22,1,,8,0.17,2
95494,2,2,22,2,,6,1.59,2
95522,2,2,22,3,,8,0.33,1
95598,2,1,22,2,,8,1.79,2
95609,2,2,22,3,,15,5,2
95655,2,1,22,3,,10,2.79,2
95699,2,2,22,4,,8,1.79,2
95719,2,1,22,3,,6,1.35,2
95733,2,1,22,1,,9,2.54,1
95955,2,2,22,3,,6,1.47,2
96092,2,1,22,2,,13,0.52,1
96495,2,1,22,4,,14,3.88,2
96497,2,2,22,3,,12,,2
96795,2,1,22,3,,14,4.45,2
