SEQN,RIDSTATR,Gender,Age,Race,EducationLevel,AnnualHouseholdIncome,RatioFIP,LowIncome
94677,2,2,25,3,,9,1.91,2
94936,2,2,25,4,,7,1.02,2
95174,2,2,25,5,,7,1.05,1
95213,2,1,25,1,,14,5,1
95312,2,1,25,5,,15,5,2
95351,2,2,25,5,,15,5,2
95493,2,1,25,3,,7,2.43,2
95501,2,2,25,3,,5,0.81,1
95606,2,1,25,1,,6,1.22,1
95799,2,2,25,3,,7,1.63,1
95922,2,1,25,3,,10,3.31,1
96085,2,1,25,3,,4,0.51,2
96270,2,1,25,2,,8,2.32,1
96464,1,1,25,5,,,,2
96600,2,2,25,4,,8,2.73,1
96677,2,2,25,3,,9,2.79,2
96695,2,2,25,3,,15,4.93,2
96697,2,1,25,3,,6,1.2,2
96879,2,2,25,3,,14,4.62,1
96913,2,2,25,5,,15,4.78,2
96966,2,2,25,3,,6,1.44,2
97934,2,1,25,3,,15,5,1
98113,2,2,25,3,,6,0.91,2
98256,2,2,25,4,,8,2.77,1
98314,2,1,25,4,,2,0.31,2
98416,2,2,25,5,,99,0.66,1
98428,2,2,25,3,,12,,2
98445,2,2,25,2,,12,,2
98494,2,2,25,5,,15,5,2
98692,2,1,25,4,,15,3.79,2
98784,2,2,25,5,,4,0.83,2
98935,2,1,25,4,,10,2.9,1
98982,2,2,25,4,,8,2.06,2
99089,2,2,25,4,,8,3.81,2
99573,2,1,25,4,,6,2.76,2
99871,2,2,25,1,,5,0.71,1
99876,2,1,25,3,,15,5,1
99927,2,1,25,1,,4,0.4,2
99999,2,1,25,1,,6,1.59,1
100059,1,1,25,3,,9,3.77,1
100258,2,2,25,3,,8,2.77,2
100334,2,1,25,1,,,,2
100561,1,1,25,3,,4,0.66,1
100653,2,1,25,4,,1,0.04,1
100672,2,2,25,1,,6,1,1
100877,2,1,25,4,,6,1.64,1
100928,2,1,25,3,,9,2.08,1
100965,2,2,25,4,,4,0.78,2
101127,2,1,25,5,,6,1.22,1
101262,2,1,25,1,,12,,1
101308,2,2,25,3,,15,4.81,2
101397,2,1,25,4,,4,0.66,2
101560,2,1,25,4,,15,5,1
101677,2,1,25,3,,7,2.16,2
101733,2,2,25,5,,7,1.46,1
101744,2,1,25,3,,8,3.54,1
101901,2,2,25,4,,1,0,2
101991,1,1,25,2,,2,0.41,1
102003,2,1,25,5,,15,5,1
102184,2,2,25,5,,9,2.39,2
102334,2,1,25,3,,5,0.81,2
102395,2,1,25,1,,7,3.32,1
102460,2,2,25,3,,10,1.75,1
102580,2,2,25,1,,13,,2
102653,2,2,25,2,,15,4.08,2
102761,2,1,25,4,,5,1.43,2
102802,2,1,25,5,,15,5,1
102833,2,1,25,4,,1,0.1,2
93738,2,1,26,2,,15,5,1
93755,2,2,26,4,,6,2.07,2
93866,2,1,26,3,,12,,1
93882,1,1,26,5,,99,,2
93953,2,1,26,5,,9,2.04,2
94042,2,1,26,5,,5,1.18,2
94169,2,1,26,5,,15,5,1
94200,2,2,26,2,,14,3.59,2
94434,2,2,26,5,,7,2.43,2
94463,2,2,26,4,,13,,1
94475,2,2,26,1,,14,2.72,2
94775,2,2,26,4,,6,1.22,2
94916,2,2,26,4,,3,0.64,1
94960,2,1,26,3,,5,1.24,1
94991,2,1,26,4,,15,5,1
95002,2,1,26,1,,7,1.46,2
95040,2,2,26,3,,7,2.43,1
95069,2,1,26,3,,7,1.96,1
95260,2,1,26,3,,15,4.39,1
95586,2,2,26,4,,6,0.96,2
95696,2,1,26,4,,2,0.58,1
95756,2,1,26,3,,,,1
95793,2,2,26,1,,1,0,1
95882,2,1,26,4,,15,5,1
95977,2,2,26,4,,2,0.31,2
96158,2,1,26,4,,7,2.02,1
96325,2,2,26,5,,10,2.38,1
96463,2,1,26,1,,6,1.64,2
96625,2,1,26,5,,10,2.12,1
96657,2,1,26,5,,14,5,2
97011,2,2,26,3,,15,5,2
97027,2,2,26,5,,1,0.08,2
97041,2,2,26,4,,15,5,1
97057,2,2,26,5,,10,4.78,2
97174,2,2,26,5,,15,5,2
97223,2,1,26,4,,14,4.16,2
97257,2,2,26,1,,9,1.97,2
97304,2,2,26,1,,5,0.59,2
97580,2,1,26,1,,10,2.99,1
97773,2,2,26,4,,6,1.2,2
97811,2,2,26,4,,1,0.1,1
97868,1,1,26,3,,8,2.07,1
98052,2,2,26,4,,,,2
98222,2,2,26,3,,8,3.87,1
98225,2,1,26,4,,9,2.07,2
98483,2,2,26,3,,4,0.61,2
98775,2,1,26,5,,9,5,1
98921,2,2,26,3,,6,2.06,2
99005,2,2,26,4,,9,1.82,1
99007,2,1,26,3,,6,1.67,2
99186,2,1,26,1,,7,1.96,1
99308,2,1,26,4,,1,0.08,1
99346,2,1,26,5,,15,5,1
99400,2,2,26,1,,9,1.95,2
99456,2,1,26,5,,6,1.58,2
99525,2,2,26,3,,,,1
99709,2,1,26,5,,12,1.65,1
99793,2,2,26,3,,14,4.86,2
99934,2,2,26,3,,6,1.72,2
99962,1,2,26,4,,5,0.96,1
99974,2,2,26,3,,6,1.32,1
100110,2,1,26,4,,6,2.74,1
100111,2,1,26,1,,14,3.31,1
100160,2,2,26,3,,10,1.5,2
100264,2,1,26,4,,5,0.98,2
100443,2,1,26,4,,,,1
100613,2,1,26,5,,77,,1
100718,1,2,26,5,,,,2
100727,2,1,26,3,,14,2.55,1
100849,2,1,26,5,,8,2.45,2
100881,2,1,26,4,,7,1.76,2
100911,2,1,26,3,,8,2.55,1
101118,2,1,26,1,,14,2.72,2
101164,2,2,26,5,,14,3.25,2
101236,2,1,26,4,,8,2.17,2
101289,2,2,26,1,,99,,2
101701,2,2,26,2,,9,3.65,2
101814,2,2,26,3,,9,3.69,2
101982,1,1,26,2,,4,0.66,2
102113,2,2,26,1,,99,,1
102226,2,1,26,5,,15,4.93,2
102272,2,2,26,3,,12,3.29,2
102380,2,2,26,4,,9,1.62,2
102383,2,2,26,1,,3,0.58,2
102541,2,1,26,5,,4,0.49,1
102557,1,2,26,4,,14,3.25,1
102638,2,2,26,3,,7,3.32,2
102674,2,1,26,3,,7,2.46,1
102894,2,1,26,2,,4,0.63,1
93835,1,1,27,4,,,,1
93890,2,1,27,5,,15,3.4,1
94002,2,2,27,4,,14,2.99,2
94130,2,2,27,4,,99,,2
94221,2,2,27,4,,4,0,2
94247,2,1,27,3,,7,2.13,1
94291,2,2,27,1,,7,1.71,1
94569,2,2,27,3,,15,4.04,1
94795,2,2,27,1,,15,5,2
95064,2,1,27,4,,77,,2
95374,2,1,27,1,,6,1.12,2
95414,2,1,27,1,,1,0.01,1
95787,2,1,27,1,,99,,1
95841,2,1,27,1,,9,1.97,2
95850,2,2,27,4,,14,3.25,2
96063,2,2,27,5,,5,0.58,2
96072,1,1,27,2,,,,1
96139,2,1,27,2,,77,,1
96484,2,1,27,1,,,,2
96580,2,1,27,3,,8,2.14,1
96590,2,2,27,1,,4,0.59,2
96645,1,1,27,3,,,,1
96740,2,1,27,5,,15,5,1
96764,2,1,27,5,,8,1.6,2
96925,2,1,27,2,,99,,2
97018,2,1,27,4,,7,1.02,2
97021,2,1,27,3,,7,1.59,1
97183,2,2,27,2,,15,4.12,1
97231,2,2,27,5,,9,2.94,2
97278,2,2,27,4,,4,0.85,2
97293,2,2,27,1,,6,1.2,1
97316,2,1,27,1,,6,1.39,1
97325,2,2,27,1,,7,1.54,1
97450,2,2,27,4,,8,3.98,1
97670,2,2,27,5,,14,3.05,2
97858,1,1,27,5,,,,2
97960,2,2,27,5,,15,4.81,1
98010,2,2,27,5,,9,1.5,2
98050,1,2,27,3,,8,1.41,2
98201,1,1,27,1,,3,0.58,2
98403,2,1,27,5,,15,3.82,1
98420,2,2,27,3,,15,5,2
98460,2,2,27,1,,1,0,2
98479,2,1,27,5,,15,5,1
98698,2,2,27,5,,15,5,2
98936,2,1,27,3,,5,0.81,2
98944,2,1,27,3,,7,1.42,1
99038,2,2,27,4,,1,0.18,1
99577,2,2,27,3,,15,5,1
99751,2,2,27,3,,8,3.04,2
99807,2,1,27,1,,15,1.98,2
99879,2,2,27,4,,10,5,2
99887,2,2,27,3,,15,5,2
100015,2,1,27,3,,4,1.32,2
100032,2,2,27,5,,15,5,1
100044,2,1,27,1,,9,2.39,2
100095,2,2,27,2,,15,4.08,2
100108,2,2,27,3,,14,4.86,2
100299,2,2,27,4,,9,2.6,2
100329,2,2,27,2,,7,0.85,2
100577,2,2,27,4,,1,0.14,1
100631,1,1,27,3,,15,4.08,1
100818,2,2,27,5,,14,4.57,2
100910,2,1,27,3,,10,5,2
100981,1,2,27,2,,1,0.18,2
100992,2,1,27,2,,15,5,1
101031,2,1,27,5,,14,5,2
101038,1,1,27,1,,14,3.31,2
101241,2,1,27,5,,15,5,2
101559,2,1,27,1,,7,1.52,2
101985,2,1,27,4,,6,2.09,1
102149,2,2,27,4,,1,0,1
102217,2,1,27,4,,14,3.92,1
102348,2,2,27,1,,8,1.7,2
102386,2,2,27,5,,8,1.6,2
102707,2,1,27,3,,4,0.61,2
102935,2,2,27,3,,14,0.85,1
93845,2,2,28,3,,14,1.93,2
93916,2,1,28,5,,12,,2
94040,2,1,28,5,,,,2
94112,2,1,28,1,,7,1.82,1
94133,2,1,28,1,,99,,1
94166,2,1,28,3,,3,0.99,2
94288,1,2,28,4,,5,0.68,1
94416,2,2,28,3,,7,1.96,1
94446,2,2,28,2,,6,0.73,1
94504,2,1,28,4,,7,1.63,1
94595,2,1,28,5,,4,1.24,1
94783,2,2,28,5,,9,1.5,1
94927,2,2,28,5,,,,2
94941,2,1,28,4,,8,2.83,1
95080,2,1,28,2,,,,2
95186,2,2,28,5,,14,4.86,1
95190,2,2,28,1,,10,1.66,2
95385,2,2,28,5,,15,3.82,2
95393,2,2,28,5,,15,5,2
95402,2,1,28,4,,15,5,2
95469,2,1,28,3,,6,2.18,2
95543,2,2,28,5,,15,5,1
95548,2,1,28,3,,8,0.82,2
95788,2,2,28,3,,10,4.25,2
95851,2,1,28,1,,6,1.2,2
95854,2,1,28,3,,15,5,1
95990,2,2,28,3,,10,3.28,2
96076,1,1,28,3,,8,1.41,2
96125,2,2,28,3,,9,3.69,2
96392,2,2,28,1,,9,3.52,2
96548,2,2,28,1,,14,2.62,2
96653,2,1,28,5,,9,2.89,2
96774,2,2,28,5,,9,2.69,2
96786,1,1,28,4,,14,3.25,2
96865,2,2,28,4,,7,1.13,2
96992,2,1,28,4,,9,2.6,1
97036,2,2,28,4,,15,4.98,2
97078,2,2,28,4,,2,0.58,2
97193,2,1,28,1,,14,3.29,1
97469,2,2,28,4,,2,0.18,2
97532,2,1,28,4,,14,3.25,1
97610,2,1,28,2,,15,0,2
97941,2,2,28,1,,15,4.34,2
97945,2,2,28,1,,9,2.19,2
98169,2,2,28,2,,7,0.85,2
98195,2,1,28,4,,9,2.62,1
98298,2,2,28,5,,14,3.38,2
98426,2,1,28,4,,6,1.2,2
98509,2,2,28,3,,4,0.72,1
98571,2,2,28,4,,,,1
98762,2,1,28,3,,6,2.09,1
98971,2,2,28,4,,1,0,1
99155,2,1,28,4,,4,0.6,1
99197,2,2,28,2,,7,1.19,1
99318,2,2,28,4,,4,0.73,1
99689,2,1,28,3,,1,0.25,1
99768,2,2,28,3,,14,4.45,1
99822,2,2,28,5,,6,2.25,2
100039,2,1,28,3,,7,2.11,1
100070,2,2,28,3,,8,3.04,1
100171,2,2,28,1,,7,1.36,2
100248,2,1,28,5,,9,3.69,1
100254,2,2,28,4,,77,,2
100431,2,2,28,3,,14,3.75,2
100440,2,2,28,1,,99,,2
100463,2,1,28,4,,6,1.05,2
100619,2,2,28,3,,7,2.88,1
100896,2,2,28,3,,3,0.31,1
100973,2,1,28,5,,8,2.35,1
100994,2,1,28,1,,14,2.72,2
101064,2,1,28,5,,12,1.85,2
101166,2,2,28,3,,15,1.69,2
101385,2,2,28,4,,15,5,2
101657,2,1,28,3,,6,1.2,2
101669,2,2,28,3,,4,0.51,1
101693,2,2,28,3,,7,2.11,1
101721,2,1,28,5,,14,2.15,1
101774,2,1,28,3,,6,1.14,2
101799,2,2,28,3,,15,5,1
101850,2,1,28,1,,15,5,2
101896,2,2,28,3,,7,1.42,2
102324,2,2,28,1,,15,5,1
102360,2,2,28,4,,,,2
102461,2,2,28,5,,9,3.69,1
102548,2,2,28,5,,4,1.2,2
93846,2,2,29,4,,4,0.87,1
93980,2,2,29,3,,10,5,1
94074,2,1,29,3,,15,5,2
94328,2,2,29,5,,10,2.38,2
94487,2,1,29,4,,4,1.05,2
94672,2,2,29,3,,15,5,1
94924,2,2,29,3,,6,1.2,2
94945,2,1,29,1,,1,0.15,1
95139,1,2,29,3,,8,2.09,1
95237,2,1,29,3,,4,1.48,2
95241,1,2,29,1,,14,4.16,1
95505,2,1,29,3,,9,3.76,2
95544,2,1,29,3,,15,5,2
95565,2,1,29,5,,7,0.79,2
95587,2,2,29,3,,14,3.67,1
95658,2,1,29,3,,15,5,2
95998,2,1,29,1,,99,,2
96000,2,1,29,4,,4,1.05,2
96198,2,2,29,4,,3,0.73,1
96243,2,2,29,3,,9,3.94,1
96272,2,1,29,5,,9,1.5,2
96299,2,1,29,3,,4,0.61,2
96313,2,2,29,5,,15,4.81,1
96346,2,1,29,4,,9,1.62,2
96382,2,1,29,4,,14,2.99,2
96481,2,1,29,1,,7,1.71,2
96558,2,1,29,4,,5,1.4,1
96692,2,1,29,2,,14,5,1
96788,2,2,29,4,,12,2.06,2
96825,1,1,29,3,,8,4.12,2
96826,2,1,29,5,,10,2.43,2
97122,2,2,29,4,,6,1.7,2
97128,2,2,29,1,,5,0.81,1
97139,2,1,29,1,,6,0.8,1
97217,2,2,29,4,,3,0.35,1
97255,2,1,29,4,,7,1.58,1
97314,2,2,29,5,,77,,1
97356,2,2,29,1,,5,1.25,2
97508,1,1,29,5,,15,5,1
97591,2,1,29,3,,8,3.62,2
97691,2,2,29,4,,1,0.17,2
97716,2,2,29,3,,4,1.17,1
97823,2,1,29,2,,14,3.3,1
97877,2,2,29,4,,1,0,2
97899,2,1,29,4,,10,3.29,1
97940,2,1,29,5,,15,5,2
97963,2,1,29,3,,6,1.79,2
97986,2,2,29,4,,9,2.89,1
98065,2,2,29,5,,5,0.81,2
98097,2,1,29,3,,12,,1
98147,2,1,29,3,,6,1.22,2
98302,2,1,29,1,,5,0.81,1
98322,2,2,29,3,,5,0.8,1
98544,2,2,29,3,,5,0.81,1
98807,2,2,29,1,,10,2.38,1
98828,2,2,29,4,,4,0.61,2
99062,2,2,29,2,,12,,1
99123,2,1,29,5,,8,1.7,2
99181,2,1,29,3,,2,0.58,2
99292,2,1,29,3,,4,0.87,1
99304,2,1,29,1,,7,1.54,1
99446,2,2,29,3,,10,2.85,1
99453,2,2,29,2,,3,0.25,2
99466,2,2,29,2,,8,1.37,1
99526,2,2,29,5,,15,5,2
99545,2,1,29,1,,6,0.81,2
99798,2,1,29,3,,6,0.89,1
99867,2,1,29,3,,14,3.73,1
99928,2,1,29,1,,10,2.89,2
100117,2,2,29,5,,2,0.09,2
100293,2,2,29,4,,6,1.2,1
100333,2,1,29,5,,12,5,1
100428,2,2,29,3,,9,2.89,2
100432,2,1,29,1,,10,2.59,2
100494,2,1,29,5,,15,2.66,2
100583,2,2,29,1,,6,1.2,2
100605,1,2,29,1,,4,1.32,1
100846,2,1,29,3,,12,,1
100999,2,2,29,3,,8,2.41,2
101004,2,1,29,3,,6,1,2
101005,2,2,29,5,,12,,1
101061,1,2,29,5,,,,2
101151,2,2,29,4,,77,,1
101254,2,2,29,4,,14,3.98,2
101345,2,2,29,4,,7,1.06,2
101372,2,2,29,5,,10,2.43,1
101481,2,2,29,3,,9,1.82,2
101620,2,2,29,5,,14,5,2
101736,2,1,29,3,,7,1.71,2
102088,2,2,29,3,,7,1.21,1
102456,2,2,29,5,,7,1.8,1
102479,1,2,29,3,,10,3.13,1
102488,2,1,29,2,,6,0.73,2
102832,2,1,29,3,,4,0.65,1
102849,2,1,29,5,,2,0.24,1
93883,2,2,30,4,,13,,1
93937,2,1,30,3,,9,3.94,2
93950,2,1,30,2,,15,3.32,2
93965,2,2,30,2,,10,4.25,2
94015,2,2,30,3,,6,1.18,2
94241,2,2,30,5,,15,2.66,1
94375,2,2,30,5,,10,3.18,2
94450,2,1,30,1,,7,1.36,2
94542,2,1,30,4,,15,5,1
94577,2,2,30,3,,15,5,2
94663,2,2,30,5,,15,5,2
94694,1,2,30,2,,,,2
94721,2,1,30,2,,8,1.7,1
95028,2,1,30,3,,5,0.98,2
95684,2,1,30,3,,14,4.86,1
95685,2,1,30,3,,6,0.91,2
96278,1,2,30,2,,,,1
96587,2,1,30,4,,4,1.11,1
96593,2,1,30,3,,15,5,1
96608,2,1,30,3,,9,1.82,2
96674,2,1,30,2,,10,3.43,2
96679,2,2,30,3,,9,1.89,2
96813,2,1,30,5,,6,1.35,2
96975,2,2,30,4,,8,4.12,1
96990,2,1,30,2,,7,1.19,2
97009,2,1,30,4,,15,4.07,1
97044,2,2,30,5,,12,,2
97094,2,2,30,5,,12,,2
97153,2,1,30,3,,6,1.52,2
97208,2,1,30,5,,2,0.18,1
97533,2,1,30,5,,15,5,1
97617,2,1,30,4,,,,2
97735,2,1,30,1,,12,1.98,1
97848,2,2,30,4,,,,2
97949,2,2,30,3,,9,3.45,1
97972,2,2,30,4,,2,0.29,2
98048,2,2,30,5,,15,3.4,1
98119,2,2,30,3,,14,1.93,2
98328,2,2,30,5,,,,2
98527,2,2,30,4,,1,0.02,1
98687,2,2,30,3,,13,,1
98729,2,2,30,5,,12,5,2
98994,2,1,30,5,,10,3.18,2
99194,2,2,30,4,,6,2.16,2
99232,2,1,30,3,,9,2.47,1
99320,2,2,30,5,,77,,2
99353,2,2,30,4,,9,2.49,2
99460,2,1,30,2,,1,0.12,2
99637,2,1,30,5,,15,5,1
99710,2,2,30,5,,7,1.43,2
99861,2,2,30,5,,9,2.65,1
99885,2,2,30,4,,12,2.45,2
99910,2,2,30,3,,10,1.75,2
99993,1,2,30,5,,,,2
100087,2,2,30,3,,14,2.43,1
100221,2,2,30,4,,7,2.07,2
100223,1,2,30,4,,10,3.95,1
100234,2,2,30,5,,14,2.71,2
100253,2,1,30,2,,15,5,2
100302,1,1,30,3,,8,4.28,2
100465,2,2,30,5,,14,3.92,2
100571,2,1,30,4,,,,2
100819,2,1,30,4,,10,1.18,1
100855,2,2,30,3,,4,0.61,2
100980,2,2,30,5,,,,1
101030,2,2,30,5,,15,5,1
101122,2,1,30,4,,6,1.44,2
101134,2,2,30,3,,12,,1
101228,2,2,30,3,,5,0.8,2
101285,2,1,30,3,,14,2.43,1
101311,2,1,30,5,,9,2.89,2
101365,2,1,30,5,,15,5,2
101446,2,2,30,5,,8,3.73,2
101501,2,2,30,5,,15,5,2
101516,2,2,30,3,,15,5,2
101570,2,2,30,4,,5,0.99,2
101658,2,1,30,3,,10,2.75,1
101787,2,1,30,4,,10,4.07,2
101838,2,2,30,3,,6,1.22,2
101842,2,2,30,5,,6,1.06,1
101853,2,1,30,1,,7,1.36,1
101940,1,1,30,5,,,,1
102793,2,2,30,3,,10,2.06,1
102804,1,1,30,1,,8,2.41,2
102847,2,2,30,3,,1,0.15,2
93792,2,2,31,2,,1,0,1
93926,2,1,31,5,,8,2.03,1
94245,2,2,31,3,,7,2.88,2
94281,2,2,31,5,,2,0.28,1
94436,2,2,31,4,,5,0.82,1
94465,2,1,31,5,,8,4.31,1
94481,2,2,31,5,,8,1.7,2
94803,1,2,31,1,,,,2
94880,1,2,31,3,,10,2.21,1
94939,2,1,31,5,,7,1.69,2
95089,2,2,31,4,,7,1.43,1
95179,2,2,31,3,,8,0.91,1
95342,2,2,31,3,,2,0.41,2
95639,2,1,31,1,,15,5,1
95657,2,1,31,3,,9,3.45,2
95883,2,2,31,1,,9,4.56,2
95900,2,1,31,3,,9,4.56,2
96029,2,1,31,5,,7,2.43,2
96111,2,2,31,4,,,,1
96147,2,1,31,3,,9,4.61,1
96226,2,1,31,4,,9,2.89,2
96275,2,2,31,3,,15,5,2
96295,2,1,31,3,,3,0.61,2
96312,2,2,31,3,,9,2.08,1
96368,2,2,31,5,,15,5,2
96466,2,2,31,4,,4,0.52,2
96554,2,1,31,4,,3,0.74,1
97034,2,2,31,3,,6,1.44,1
97071,2,2,31,4,,8,1.52,1
97092,2,2,31,4,,15,5,2
97103,2,2,31,2,,9,2.39,2
97349,2,2,31,5,,10,2.79,2
97354,2,2,31,2,,6,1.1,2
97384,2,1,31,1,,,,1
97692,2,1,31,2,,12,,1
97771,2,2,31,3,,14,3.4,2
97784,2,1,31,3,,4,0.81,2
98007,2,1,31,4,,15,4.47,1
98031,2,1,31,5,,5,0.96,2
98077,2,1,31,3,,7,2.88,1
98124,2,1,31,3,,4,1.17,1
98280,2,2,31,5,,15,4.93,1
98323,2,2,31,3,,7,1.6,2
98343,2,2,31,4,,10,1.18,1
98661,2,2,31,4,,10,2.43,2
98740,2,1,31,5,,9,1.5,2
98812,2,2,31,5,,7,0.79,2
98859,1,1,31,4,,9,2.89,1
98981,2,1,31,4,,4,0.61,2
98985,2,2,31,5,,15,5,1
99138,2,1,31,4,,2,0.41,2
99280,2,1,31,3,,14,4.09,1
99872,2,2,31,3,,6,1.67,2
99932,2,1,31,1,,13,,1
99986,2,2,31,1,,6,0.81,2
100418,2,1,31,3,,15,5,1
100546,2,2,31,3,,12,,2
100644,2,2,31,3,,1,0.13,2
101085,2,1,31,5,,9,2.79,1
101132,2,1,31,5,,12,,2
101172,1,2,31,3,,,,2
101264,2,1,31,5,,12,,1
101370,2,2,31,2,,15,5,2
101404,2,1,31,4,,13,,2
101681,2,2,31,4,,4,0.93,2
101886,1,2,31,5,,6,0.82,1
101912,2,2,31,5,,15,4.17,1
102107,2,1,31,5,,8,2.03,2
102139,2,1,31,5,,15,5,2
102160,2,2,31,5,,12,,2
102212,2,2,31,3,,6,1.22,2
102352,2,1,31,3,,5,1,1
102358,2,2,31,5,,10,2.79,1
102361,2,1,31,5,,14,4.56,2
102373,2,1,31,1,,7,1.59,2
102391,2,1,31,5,,8,2.17,1
102492,2,1,31,4,,15,5,2
102922,2,1,31,4,,6,1.05,2
102948,2,2,31,3,,15,5,1
93776,2,2,32,4,,10,1.18,2
93781,2,1,32,2,,5,1.65,2
93815,2,2,32,5,,4,1.12,1
93984,2,2,32,3,,10,2.79,1
93988,2,2,32,3,,4,0.65,2
94382,2,2,32,3,,3,1,1
94414,2,1,32,4,,1,0.12,1
94443,2,1,32,1,,9,2.39,1
94737,1,1,32,4,,77,,2
94773,2,1,32,1,,10,5,2
94819,2,2,32,1,,7,1.14,2
94848,2,2,32,2,,14,2.65,1
94899,2,2,32,4,,8,1.74,2
94982,2,2,32,4,,6,1.82,2
95231,2,1,32,5,,8,1.7,1
95582,2,2,32,5,,15,5,2
95726,2,2,32,4,,9,0.99,2
95762,2,1,32,4,,9,0.99,2
95858,2,1,32,5,,14,4.86,2
95896,2,2,32,4,,6,2.11,2
95962,2,1,32,3,,14,3.67,1
96011,2,2,32,1,,4,0.61,2
96133,2,1,32,4,,7,2.11,1
96211,2,1,32,3,,14,5,1
96257,2,2,32,1,,6,1.42,2
96297,2,2,32,3,,15,5,1
96398,2,1,32,4,,6,1.77,2
96400,2,1,32,3,,7,1.59,1
96510,2,2,32,3,,6,0.85,1
96628,2,1,32,3,,4,1.06,1
96672,2,1,32,5,,14,5,1
96721,2,2,32,1,,14,5,2
96838,2,2,32,5,,8,3.2,2
96939,2,2,32,3,,5,0.71,2
97037,2,1,32,5,,15,5,1
97234,2,2,32,5,,2,0.28,2
97250,2,1,32,3,,5,1.81,1
97319,2,1,32,3,,6,1.02,1
97322,2,2,32,4,,7,2.28,1
97409,2,1,32,5,,12,,1
97423,2,2,32,2,,,0.87,2
97430,2,1,32,1,,15,5,1
97576,2,1,32,1,,2,0.41,2
97624,2,2,32,5,,15,5,1
97648,2,2,32,3,,10,3.43,2
97840,2,1,32,5,,14,4.72,2
97930,2,1,32,5,,15,4.78,2
97948,2,2,32,3,,10,2.59,2
97965,2,1,32,5,,15,2.66,2
98187,2,2,32,2,,14,5,2
98241,2,1,32,5,,12,,2
98437,2,2,32,4,,5,0.6,2
98447,2,1,32,3,,9,2.64,1
98512,2,2,32,4,,1,0.06,2
98514,2,1,32,3,,14,3.33,1
98528,2,1,32,3,,7,2.46,2
98551,2,2,32,5,,,,1
98734,2,1,32,3,,7,1.98,1
98799,2,2,32,3,,9,5,1
98839,2,2,32,5,,9,2.44,2
99023,2,1,32,3,,14,5,2
99297,2,1,32,3,,8,2.2,2
99481,2,2,32,3,,6,1.01,2
99498,2,1,32,5,,14,3.05,1
99672,2,2,32,5,,14,3.66,2
99801,1,1,32,1,,7,1.83,2
99894,2,1,32,1,,6,1.01,1
100077,2,2,32,1,,4,0.49,1
100100,2,1,32,4,,8,1.65,1
100186,2,1,32,5,,,,2
100190,2,2,32,2,,14,2.73,1
100195,2,2,32,5,,8,2.03,2
100196,2,2,32,4,,5,1.48,2
100242,2,2,32,4,,,,1
100434,2,2,32,1,,7,1.82,1
100464,2,1,32,5,,,,1
100537,2,2,32,1,,99,,1
100697,2,1,32,3,,12,1.98,2
101069,2,1,32,4,,8,1.74,2
101086,2,1,32,5,,15,2.1,2
101765,2,2,32,4,,9,4.98,2
101828,2,2,32,5,,9,1.67,2
101852,2,1,32,5,,9,1.32,2
102035,2,2,32,3,,7,0.33,2
102046,2,2,32,5,,9,1.32,1
102091,2,1,32,4,,,,2
102099,2,2,32,3,,8,1.91,1
102288,2,1,32,5,,,,2
102419,2,1,32,5,,15,5,1
102621,2,2,32,4,,9,1.18,2
102669,2,1,32,4,,99,,2
102884,2,1,32,1,,6,2.49,2
93969,2,2,33,3,,4,0.6,1
93970,2,1,33,5,,14,3.66,1
94071,2,1,33,5,,14,3.92,2
94122,2,1,33,2,,77,,2
94270,2,1,33,1,,3,0.41,2
94320,2,1,33,4,,9,1.18,1
94368,2,2,33,3,,14,5,2
94377,2,1,33,3,,8,2.24,2
94388,2,2,33,4,,5,0.8,2
94576,2,2,33,1,,3,0.58,1
94589,2,1,33,3,,10,2.85,1
94686,2,2,33,3,,14,3.48,2
94837,2,2,33,1,,99,0.63,2
94852,2,1,33,1,,4,0.49,2
94860,2,2,33,4,,7,1.26,1
95115,2,2,33,4,,7,1.63,1
95128,2,2,33,4,,77,,1
95276,2,1,33,3,,14,5,2
95423,2,2,33,5,,7,1.22,2
95442,2,2,33,3,,14,3.96,1
95666,2,1,33,3,,5,1.65,2
95754,2,1,33,3,,4,0.72,1
95791,2,1,33,2,,3,0.25,1
96220,2,1,33,5,,15,4.81,1
96269,2,2,33,1,,4,0.49,2
96417,2,2,33,5,,15,4.78,1
96519,2,2,33,4,,10,1.18,2
96681,2,2,33,5,,8,2.2,2
96725,2,2,33,2,,99,,2
96743,2,1,33,3,,8,1.91,2
96744,2,1,33,1,,9,1.94,2
96901,2,2,33,1,,6,0.85,2
96948,2,1,33,4,,7,2.88,1
96959,2,1,33,5,,15,4.93,1
97000,2,1,33,5,,12,,2
97042,2,2,33,3,,15,5,2
97364,2,2,33,5,,6,1.02,2
97485,2,2,33,3,,15,5,1
97519,1,1,33,4,,5,1.22,2
97526,2,2,33,3,,6,1.15,1
97629,2,2,33,3,,9,2.08,1
97705,2,2,33,4,,5,1.13,2
97774,2,1,33,1,,99,,1
97795,2,2,33,3,,13,,2
98088,2,1,33,3,,15,5,2
98100,2,1,33,3,,14,5,2
98218,2,2,33,1,,9,3.65,2
98358,2,1,33,4,,5,1.7,2
98906,2,1,33,2,,14,2.65,1
98948,2,1,33,3,,15,3.79,2
98968,2,1,33,3,,7,1.18,2
99212,2,1,33,4,,9,2.89,1
