,City Name,State Name,Latitude,Longitude,Facility ID,Facility Name,Emission,Gas Code,Gas Name,Year
73929,Grant Town,West Virginia,39.5611,-80.1642,1000251,Grant Town Power Plant,2457.75,CH4,Methane,2014
73930,Riverton,Kansas,37.0719,-94.6986,1001575,Riverton,35.25,CH4,Methane,2014
73931,Tacoma,Washington,47.08187,-122.3649,1004175,Frederickson Pse,23.244,N2O,Nitrous Oxide,2018
73932,Warren,Michigan,42.524570000000004,-83.04225,1000380,Gm Technical Center,22.0,CH4,Methane,2010
73933,Pasadena,Texas,29.63914,-95.04694,1000619,Lubrizol Bayport Plant,14.25,CH4,Methane,2010
73934,Bakersfield,California,35.4518,-118.9851,1004186,Kern River,582.59,N2O,Nitrous Oxide,2014
73935,Newington,New Hampshire,43.0974,-70.7834,1001181,Newington,107.0,CH4,Methane,2010
73936,Wilmington,Delaware,39.7732,-75.5736,1002712,Dupont Experimental Station,23.75,CH4,Methane,2018
73937,Rifle  2.0 Mi Se Of,Colorado,39.48948970000001,-107.7232517,1003630,Grg - East Mamm Creek Cs,34792.1,CO2,Carbon Dioxide,2013
73938,Ladysmith,Wisconsin,45.463429999999995,-91.08877,1003607,Dunn Paper - Ladysmith  Llc,16.986,N2O,Nitrous Oxide,2013
73939,Andersonville,Georgia,31.952913,-84.332371,1002748,C-E Minerals Plants 1/2/6,693.75,CH4,Methane,2011
73940,Blytheville,Arkansas,35.941,-89.727,1007921,Nucor Steel - Arkansas,51.553999999999995,N2O,Nitrous Oxide,2014
73941,Greenwood,South Carolina,34.24001,-82.0654,1005342,Fujifilm Manufacturing U.S.A.  Inc.,18.5,CH4,Methane,2013
73942,Soda Springs,Idaho,42.739416999999996,-111.541421,1001154,Itafos Conda Llc,50.958,N2O,Nitrous Oxide,2013
73943,Modesto,California,37.6528,-121.0172,1001107,Woodland Generation Station,108.25,CH4,Methane,2013
73944,Sumter,South Carolina,33.919897,-80.319677,1005086,Santee Print Works Incorporated,25.031999999999996,N2O,Nitrous Oxide,2014
73945,Athens,Georgia,33.95533,-83.37514,1006780,University Of Georgia,64012.2,CO2,Carbon Dioxide,2011
73946,Bakersfield,California,35.398111,-119.255371,1002394,Frito-Lay Cogen Plant,52946.0,CO2,Carbon Dioxide,2018
73947,Houston,Texas,29.7458,-95.3375,1003772,Atlantic Coffee Industrial Solutions  Llc,107.57799999999999,N2O,Nitrous Oxide,2014
73948,Hartford,Connecticut,41.7639,-72.6925,1001247,Capitol District Energy Center,10.728,N2O,Nitrous Oxide,2010
73949,Mabelvale,Arkansas,34.634167,-92.411111,1000574,Mabelvale,13.5,CH4,Methane,2011
73950,Union Bridge,Maryland,39.560284,-77.171425,1002787,Lehigh Cement Company Llc,1758.75,CH4,Methane,2014
73951,Bethlehem,Pennsylvania,40.6175,-75.3147,1000127,Bethlehem Power Plant,2082814.6,CO2,Carbon Dioxide,2014
73952,Waco,Texas,31.472425,-97.179548,1007533,Brazos District Headquarters,3166.92,SF6,Sulfur Hexafluoride,2014
73953,Pompano Beach,Florida,26.287221999999996,-80.159722,1004185,Wheelabrator North Broward,208520.0,BIOCO2,Biogenic CO2,2014
73954,South Hutchinson,Kansas,38.040279,-97.952167,1002327,Morton Salt  Inc.,15.198,N2O,Nitrous Oxide,2017
73955,Burnet,Texas,30.6479,-98.2536,1002405,Lhoist North America - Marble Falls Plant,206979.1,CO2,Carbon Dioxide,2017
73956,Orono,Maine,44.898706,-68.673324,1002017,University Of Maine,17.25,CH4,Methane,2014
73957,East Chicago,Indiana,41.65611,-87.450828,1007287,Indiana Harbor Coke Company,73.60600000000001,N2O,Nitrous Oxide,2013
73958,Des Moines,Iowa,41.589929,-93.633969,1006871,Iowa Methodist Medical Ctr,5.066,N2O,Nitrous Oxide,2013
73959,Owensboro,Kentucky,37.77541,-87.10291,1003930,Owensboro Grain Co,35.461999999999996,N2O,Nitrous Oxide,2018
73960,Owensboro,Kentucky,37.77541,-87.10291,1003930,Owensboro Grain Co,62993.9,CO2,Carbon Dioxide,2018
73961,Durango,Colorado,37.1745,-107.7786,1001947,Outlaw Compressor Station,8.94,N2O,Nitrous Oxide,2013
73962,Solvay,New York,43.0667,-76.2246,1001219,Syracuse  Llc,1.5,CH4,Methane,2010
